[EISArtifact_vehicle3] Registering vehicle3 to entity connectionA3
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle3] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle2] Doing skip for step 249
[vehicle1] Doing skip for step 250
[vehicle4] Doing skip for step 250
[vehicle2] Doing skip for step 250
[vehicle3] Doing skip for step 250
[vehicle1] Doing skip for step 251
[vehicle4] Doing skip for step 251
[vehicle2] Doing skip for step 251
[vehicle3] Doing skip for step 251
[vehicle1] Doing skip for step 252
[vehicle4] Doing skip for step 252
[vehicle2] Doing skip for step 252
[vehicle3] Doing skip for step 252
[vehicle1] Doing skip for step 253
[vehicle4] Doing skip for step 253
[vehicle2] Doing skip for step 253
[vehicle3] Doing skip for step 253
[vehicle1] Doing skip for step 254
[vehicle4] Doing skip for step 254
[vehicle2] Doing skip for step 254
[vehicle3] Doing skip for step 254
[vehicle1] Doing skip for step 255
[vehicle4] Doing skip for step 255
[vehicle2] Doing skip for step 255
[vehicle3] Doing skip for step 255
[vehicle1] Doing skip for step 256
[vehicle4] Doing skip for step 256
[vehicle2] Doing skip for step 256
[vehicle3] Doing skip for step 256
[vehicle1] Doing skip for step 257
[vehicle4] Doing skip for step 257
[vehicle2] Doing skip for step 257
[vehicle3] Doing skip for step 257
[vehicle1] Doing skip for step 258
[vehicle4] Doing skip for step 258
[vehicle2] Doing skip for step 258
[vehicle3] Doing skip for step 258
[vehicle1] Doing skip for step 259
[vehicle4] Doing skip for step 259
[vehicle2] Doing skip for step 259
